window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage
33,2026-04-02,2026-05-07,1839,18090,-0.00923111469264204,0.0,0.0652425203754868,990768.885307358,1.0
34,2026-04-03,2026-05-08,1839,18090,-0.062040929179670856,0.0,0.1216582450635392,937959.0708203291,1.0
35,2026-04-06,2026-05-09,1839,18090,-0.06845038484996646,0.0,0.15513849284429393,931549.6151500335,1.0
36,2026-04-07,2026-05-11,1876,18460,-0.03460771253329986,0.0,0.12470710257257825,965392.2874667002,1.0
37,2026-04-08,2026-05-12,1913,18830,-0.08447582548084687,0.0,0.17585808292142174,915524.1745191531,1.0
38,2026-04-09,2026-05-13,1913,18830,-0.12260062908334823,0.0,0.2026730229207532,877399.3709166518,1.0
39,2026-04-10,2026-05-14,1913,18830,-0.0357411358020584,0.0,0.13030076415957786,964258.8641979416,1.0
40,2026-04-11,2026-05-15,1913,18830,-0.027172414341427364,0.0,0.09397018454051626,972827.5856585726,1.0
41,2026-04-13,2026-05-16,1913,18830,-0.20514780895585594,0.0,0.24008840140688176,794852.1910441441,1.0
42,2026-04-14,2026-05-18,1913,18830,-0.16280904598773904,0.0,0.17903222794595594,837190.954012261,1.0
43,2026-04-15,2026-05-19,1913,18830,-0.12383765075259212,0.0,0.1563623751536841,876162.3492474079,1.0
44,2026-04-16,2026-05-20,1913,18830,-0.073202827847336,0.0,0.13281989530681326,926797.172152664,1.0
45,2026-04-17,2026-05-21,1913,18830,-0.005717836329265258,0.0,0.09348641746438616,994282.1636707347,1.0
46,2026-04-18,2026-05-22,1913,18830,-0.05075332440511904,0.0,0.13536851267643024,949246.675594881,1.0
47,2026-04-20,2026-05-23,1913,18830,0.043441216784049885,0.0,0.10425014023861784,1043441.2167840499,1.0
48,2026-04-21,2026-05-26,1913,18830,-0.04504329966922416,0.0,0.19295416328547074,954956.7003307758,1.0
49,2026-04-22,2026-05-27,1913,18830,0.007958015461088763,0.0,0.08394887457480533,1007958.0154610887,1.0
50,2026-04-23,2026-05-28,1913,18830,-0.07571716626346525,0.0,0.11857929491123373,924282.8337365347,1.0
51,2026-04-24,2026-05-29,1913,18830,0.025333147757873542,0.0,0.14188676226018904,1025333.1477578735,1.0
52,2026-04-25,2026-05-30,1861,18310,1.7200787214566304e-06,0.0,0.1278424356636918,1000001.7200787214,1.0
53,2026-04-27,2026-06-01,1887,18570,-0.13174706516486712,0.0,0.1955425971875757,868252.9348351329,1.0
54,2026-04-28,2026-06-02,1913,18830,-0.15559107032259178,0.0,0.19867088799428195,844408.9296774082,1.0
55,2026-04-29,2026-06-03,1913,18830,-0.1855795800610054,0.0,0.20495079482792625,814420.4199389946,1.0
56,2026-04-30,2026-06-04,1913,18830,-0.03162925871029354,0.0,0.1332676401971379,968370.7412897064,1.0
57,2026-05-01,2026-06-05,1913,18830,-0.0014098899332017911,0.0,0.16323811073832353,998590.1100667982,1.0
58,2026-05-02,2026-06-06,1898,18680,-0.05079450868641322,0.0,0.13856029990563182,949205.4913135868,1.0
59,2026-05-04,2026-06-08,1924,18940,-0.009743675502642102,0.0,0.09118063091565225,990256.324497358,1.0
60,2026-05-05,2026-06-09,1950,19200,0.03109923722487773,0.0,0.1669865893665084,1031099.2372248777,1.0
61,2026-05-06,2026-06-10,1950,19200,-0.011451133101291311,0.0,0.10407358871532019,988548.8668987087,1.0
62,2026-05-07,2026-06-11,1950,19200,-0.03700473110759306,0.0,0.08262755738808542,962995.268892407,1.0
63,2026-05-08,2026-06-12,1950,19200,-0.061053087952904206,0.0,0.13976712773170863,938946.9120470958,1.0
64,2026-05-09,2026-06-13,1898,18680,0.15517435215591968,0.0,0.06689278736911312,1155174.3521559197,1.0
65,2026-05-11,2026-06-15,1924,18940,-0.03073045892450532,0.0,0.09544827483289049,969269.5410754947,1.0
66,2026-05-12,2026-06-16,1950,19200,0.2625856485070086,0.0,0.0725969035977503,1262585.6485070086,1.0
67,2026-05-13,2026-06-17,1950,19200,0.3883204448009232,0.0,0.04394666853056569,1388320.444800923,1.0
68,2026-05-14,2026-06-18,1950,19200,0.2456176792347211,0.0,0.06622306291571602,1245617.679234721,1.0
69,2026-05-15,2026-06-19,1898,18680,0.07873085646662403,0.0,0.10425300136884812,1078730.856466624,1.0
70,2026-05-16,2026-06-22,1872,18420,0.09099731176902037,0.0,0.07141260677081868,1090997.3117690203,1.0
71,2026-05-18,2026-06-23,1924,18940,0.15115524079593468,0.0,0.1217050215396694,1151155.2407959346,1.0
72,2026-05-19,2026-06-24,1950,19200,0.26689027803442866,0.0,0.08111775300009472,1266890.2780344286,1.0
73,2026-05-20,2026-06-25,1950,19200,0.28874118764465684,0.0,0.08765893184589525,1288741.1876446567,1.0
74,2026-05-21,2026-06-26,1950,19200,0.04772348058422371,0.0,0.10834222829365915,1047723.4805842238,1.0
75,2026-05-22,2026-06-27,1898,18680,0.21909375914544293,0.0,0.06691214732432758,1219093.7591454429,1.0
76,2026-05-23,2026-06-29,1872,18420,0.11586043102271715,0.0,0.09011665356642955,1115860.4310227172,1.0
77,2026-05-26,2026-06-30,1924,18940,0.0842160372152887,0.0,0.1503895384176975,1084216.0372152887,1.0
78,2026-05-27,2026-07-01,1913,18830,0.259156696933442,0.0,0.08136425534712469,1259156.696933442,1.0
79,2026-05-28,2026-07-02,1913,18830,0.12890666697282072,0.0,0.06832343727278019,1128906.6669728206,1.0
80,2026-05-29,2026-07-03,1898,18680,0.07025270365825254,0.0,0.10045935393670156,1070252.7036582525,1.0
81,2026-05-30,2026-07-06,1872,18420,0.11623694711300003,0.0,0.1000504612040636,1116236.947113,1.0
82,2026-06-01,2026-07-07,1924,18940,-0.0823558877597248,0.0,0.17928112275105373,917644.1122402753,1.0
83,2026-06-02,2026-07-08,1950,19200,0.060204852144467136,0.0,0.11292688985639374,1060204.8521444672,1.0
84,2026-06-03,2026-07-09,1950,19200,0.17693504526527226,0.0,0.1528394321106791,1176935.0452652723,1.0
85,2026-06-04,2026-07-10,1950,19200,0.051166052259502326,0.0,0.07902110118601176,1051166.0522595022,1.0
86,2026-06-05,2026-07-11,1898,18680,0.06385018158374778,0.0,0.16335136442447387,1063850.1815837477,1.0
87,2026-06-06,2026-07-13,1872,18420,0.06843619225286979,0.0,0.08410658672333685,1068436.1922528697,1.0
88,2026-06-08,2026-07-14,1924,18940,0.1135794556650529,0.0,0.09537141981504549,1113579.4556650529,1.0
89,2026-06-09,2026-07-15,1950,19200,0.5267391646985657,0.0,0.06378778301449807,1526739.1646985658,1.0
90,2026-06-10,2026-07-16,1950,19200,0.09958156729495227,0.0,0.081939056961887,1099581.5672949522,1.0
91,2026-06-11,2026-07-17,1950,19200,0.0943752890531191,0.0,0.10728804924575393,1094375.289053119,1.0
92,2026-06-12,2026-07-18,1898,18680,0.1821845425077644,0.0,0.11185501611591367,1182184.5425077644,1.0
93,2026-06-13,2026-07-20,1872,18420,0.08112522416669932,0.0,0.1310956050433223,1081125.2241666992,1.0
94,2026-06-15,2026-07-21,1924,18940,0.14091211677570126,0.0,0.08455320711185653,1140912.1167757013,1.0
95,2026-06-16,2026-07-22,1950,19200,-0.1039934943006432,0.0,0.16322382230193477,896006.5056993568,1.0
96,2026-06-17,2026-07-23,1950,19200,0.02583414592839528,0.0,0.1446058805660399,1025834.1459283953,1.0
97,2026-06-18,2026-07-24,1950,19200,0.037234784733320536,0.0,0.11863394924944395,1037234.7847333206,1.0
98,2026-06-19,2026-07-25,1898,18680,0.014138354585174762,0.0,0.11217401743330134,1014138.3545851747,1.0
99,2026-06-22,2026-07-27,1924,18940,-0.09811827082662372,0.0,0.1863153070275092,901881.7291733762,1.0
100,2026-06-23,2026-07-28,1950,19200,0.10282420322497132,0.0,0.1315190766788047,1102824.2032249714,1.0
101,2026-06-24,2026-07-29,1950,19200,-0.03779154151926378,0.0,0.1233929557021394,962208.4584807362,1.0
102,2026-06-25,2026-07-30,1950,19200,-0.15047820472454654,0.0,0.19651046702970243,849521.7952754535,1.0
103,2026-06-26,2026-07-31,1950,19200,-0.04192864541727237,0.0,0.2023097042966807,958071.3545827277,1.0
104,2026-06-27,2026-08-01,1898,18680,0.06135515622382437,0.0,0.17494201574235704,1061355.1562238245,1.0
105,2026-06-29,2026-08-03,1924,18940,0.03674471281957348,0.0,0.1235710529720551,1036744.7128195735,1.0
106,2026-06-30,2026-08-04,1950,19200,0.06774535710602736,0.0,0.08362980389679447,1067745.3571060274,1.0
107,2026-07-01,2026-08-05,1950,19200,-0.08729404200166235,0.0,0.22636406066349501,912705.9579983377,1.0
108,2026-07-02,2026-08-06,1987,19570,0.0163764526512038,0.0,0.1320686679735598,1016376.4526512038,1.0
109,2026-07-03,2026-08-07,1987,19570,-0.0804323635862032,0.0,0.2062298823496007,919567.6364137968,1.0
110,2026-07-06,2026-08-08,1950,19200,-0.02591504779044862,0.0,0.15507296958644495,974084.9522095514,1.0
111,2026-07-07,2026-08-10,1950,19200,-0.04503277143823636,0.0,0.15340301670887363,954967.2285617637,1.0
112,2026-07-08,2026-08-11,1950,19200,-0.12154724553501572,0.0,0.20488533782273222,878452.7544649843,1.0
113,2026-07-09,2026-08-12,1950,19200,-0.016376873403227465,0.0,0.1124969229396812,983623.1265967726,1.0
114,2026-07-10,2026-08-13,1950,19200,0.05501777996372703,0.0,0.11255816504618765,1055017.779963727,1.0
115,2026-07-11,2026-08-14,1950,19200,-0.005236622544629088,0.0,0.09810424026754569,994763.377455371,1.0
116,2026-07-13,2026-08-15,1950,19200,-0.06340179462773965,0.0,0.19327862262739898,936598.2053722603,1.0
117,2026-07-14,2026-08-17,1950,19200,-0.08338862344983577,0.0,0.1264567326670595,916611.3765501642,1.0
118,2026-07-15,2026-08-18,1905,18750,0.03094756955922362,0.0,0.13528682993614166,1030947.5695592236,1.0
